Name	SMILES	H298	S298	300 K	400 K	500 K	600 K	800 K	1000 K	1500 K	Comment
1-Benzene	c1ccccc1	19.8	64.2419773513	19.44	26.64	32.76	37.8	45.24	50.46	58.38	Thermo group additivity estimation: group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + ring(Benzene)
2-Phenol	c1cccc(c1)O	-22.3	76.55	24.4	32.0	38.32	43.33	50.62	55.56	63.16	Thermo group additivity estimation: group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
3-Anisole	c1cccc(c1)OC	-17.1	85.3768305179	29.69	39.04	46.6	52.69	62.03	68.32	77.9	Thermo group additivity estimation: group(Cs-OsHHH) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CsCb) + other(R) + ring(Benzene)
4-Benzaldehyde	c1cccc(c1)C=O	-10.71	83.25	27.24	34.94	41.5	46.92	55.12	60.56	67.3	Thermo group additivity estimation: group(Cb-(Cds-Od)) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
5-Styrene	c1cccc(c1)C=C	35.23	83.84	29.35	38.32	45.94	52.14	61.4	67.92	77.57	Thermo group additivity estimation: group(Cb-(Cds-Cds)) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsHH) + other(R) + ring(Benzene)
6-Toluene	c1cccc(c1)C	11.81	78.1868305179	25.06	33.18	40.38	46.44	55.68	62.26	72.21	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + ring(Benzene)
7-Ethyl	c1c(cccc1)CC	6.95	87.5268305179	30.9	40.79	49.36	56.45	67.17	74.8	85.97	Thermo group additivity estimation: group(Cs-CbCsHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cb-Cs) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + ring(Benzene)
8-O-DOH	c1ccc(c(c1)O)O	-64.4	82.5425734167	29.36	37.36	43.88	48.86	56.0	60.66	67.94	Thermo group additivity estimation: group(Cb-Os) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
9-M-DOH	c1ccc(cc1O)O	-64.4	82.5425734167	29.36	37.36	43.88	48.86	56.0	60.66	67.94	Thermo group additivity estimation: group(Cb-Os) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
10-P-DOH	c1c(ccc(c1)O)O	-64.4	82.5425734167	29.36	37.36	43.88	48.86	56.0	60.66	67.94	Thermo group additivity estimation: group(Cb-Os) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
11-O-DMeO	c1ccc(c(c1)OC)OC	-54.0	100.196234453	39.94	51.44	60.44	67.58	78.82	86.18	97.42	Thermo group additivity estimation: group(Cs-OsHHH) + other(R) + group(Cs-OsHHH) + other(R) + group(Cb-Os) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CsCb) + other(R) + group(Os-CsCb) + other(R) + ring(Benzene)
